Absent_Frqcy_Class,Month of absence,Day of the week,Season,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Social drinker,Social smoker,Pet,Weight,Height,Body mass index
0,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30
0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31
0,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
0,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24
0,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30
0,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
1,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27
0,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
1,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25
1,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29
1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
1,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
0,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
0,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
1,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23
0,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
1,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
1,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25
0,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32
1,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25
0,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31
1,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27
0,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23
1,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30
1,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27
